No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1087,0.4768,4.62969,3.54958,417.266,2.07944,-4.691266667,-7.209413333,0.230360772,0.209427737,6679.863743,13385.35781,0.226701884,0.584280965,10.30923881
1089,0.53,7.09668,6.48549,969.043,1.23144,-4.064576667,-6.245586667,0.241179096,0.204181514,10144.30117,20303.67566,0.360388483,0.620824321,6.890612217
1091,0.6566,6.17646,5.41366,2640.88,0.807969,-4.77768,-7.494843333,0.295487144,0.246876625,9078.899706,18437.06035,1.019806342,2.151035613,8.437035639
1092,0.4616,4.71772,3.99487,589.114,1.44554,-5.447886667,-8.37735,0.274268495,0.241210429,18459.75167,36523.23001,0.396846589,0.92856763,9.359461875
1093,0.5756,5.0113,3.75029,939.715,1.8761,-3.733163333,-5.818733333,0.207306637,0.173089746,2385.552832,5253.368973,0.201255892,0.270785474,5.381913967
1094,0.5686,5.69204,4.57463,1230.35,1.10643,-4.72474,-7.000406667,0.27520053,0.231997892,14471.38042,28682.81574,0.601095329,1.21624482,8.093523681
1095,0.5636,5.44132,4.56825,1219.73,1.11997,-4.686933333,-7.126353333,0.267700385,0.225928757,12667.25833,25280.15226,0.544211016,1.073388318,7.889500848
1096,0.6352,5.86918,4.59668,2219.27,0.986332,-4.571853333,-6.84054,0.284844819,0.238802811,3813.916428,7918.336757,0.779071212,1.58428009,8.134199111
1097,0.7088,18.30047,4.50008,2754.14,0.672661,-3.818793333,-6.059033333,0.237532664,0.191049068,6113.245033,12664.7252,0.374985699,0.463272383,4.941760544
1098,0.6806,7.67569,4.67937,3509.28,0.684588,-4.442953333,-6.761303333,0.269333111,0.220378267,5348.47859,11218.73577,0.655827777,0.961251402,5.862828235
1099,0.6424,8.23055,4.00763,1961.29,0.791399,-3.690406667,-5.659296667,0.248164349,0.201179925,15314.27616,30313.09007,0.470665368,0.642817045,5.46304945
1100,0.654,9.52504,4.72038,1419.06,1.26402,-3.055326667,-4.777716667,0.203852371,0.160451344,5553.998122,10992.69001,0.206750662,0.20957683,4.054677803
1101,0.457,4.17882,3.40082,341.512,1.37142,-5.58066,-8.03837,0.257543088,0.215363478,17884.17433,35496.99902,0.308213168,0.457059382,5.931730756
1102,0.5864,11.02009,9.16908,1212.05,1.0226,-3.71966,-5.66168,0.241628211,0.197896398,14048.82824,27589.56466,0.400417578,0.565941093,5.653508978
1103,0.5018,6.02489,4.11389,719.782,1.35783,-4.148613333,-5.995076667,0.200749453,0.167997034,16791.43594,33527.01028,0.161490224,0.192451503,4.766889245
1104,0.5778,5.59049,4.04525,1121.36,1.27117,-6.190336667,-9.222853333,0.26606873,0.231829916,9127.739195,18619.02424,0.419401379,0.814116135,7.764553726
1105,0.6724,13.09537,5.58136,1703.57,1.02039,-2.955536667,-4.80654,0.212956287,0.170514735,2271.382611,4794.927356,0.238476544,0.261005373,4.377879159
1106,0.8896,15.40731,13.34223,5374.4,0.291845,-1.760613333,-3.125433333,0.219026308,0.145132106,1736.956399,3674.380915,0.290105646,0.138047281,1.903407023
1107,0.9076,28.01343,12.17996,5696.7,0.247232,-1.384886667,-2.36531,0.222919998,0.146461591,1937.927902,3975.775994,0.310988123,0.14375945,1.849066757
1108,0.6944,5.815,4.76876,3641.46,0.737304,-3.37657,-5.06286,0.262757354,0.207625041,840.6554455,2111.315488,0.625414094,0.773800953,4.949047106
1109,0.666,4.67101,3.44264,2690.15,0.835534,-3.867113333,-5.36126,0.248711793,0.186895124,312.100661,1231.518002,0.473087917,0.419293352,3.545162216
1110,0.7042,5.49146,4.83933,3697.22,0.750845,-3.498826667,-5.34037,0.266727694,0.212484786,1913.149831,4099.101998,0.644131534,0.847588454,5.263449524
1113,0.5826,8.38862,6.77493,1498.87,0.882886,-2.976266667,-4.81227,0.213891182,0.173314705,21703.69368,42795.62874,0.241369699,0.288403017,4.779440306
1114,0.5428,6.47725,4.49016,1367.51,0.996719,-4.96298,-7.389926667,0.276567281,0.238060053,13871.08829,27905.98718,0.600776267,1.320244453,8.790257043
1115,0.6358,4.83098,3.31633,519.193,1.21088,-2.8911,-4.614166667,0.186799045,0.152442547,2390.534377,5134.645408,0.150946806,0.168330149,4.460648184
1118,0.5362,6.25146,5.06086,1458.01,1.02515,-5.340376667,-7.88229,0.306323619,0.2643034,3304.834717,6963.105741,0.793150315,2.121990519,10.70158067
1119,0.5404,5.59653,4.5385,1539.84,1.00212,-5.25981,-7.953086667,0.312666497,0.27128092,3251.64253,6922.57555,0.822781379,2.608136994,12.67961119
1120,0.4694,8.67689,4.91695,375.588,1.98026,-3.121256667,-5.147363333,0.160499785,0.140980562,15501.16146,30378.23516,0.082089717,0.115497463,5.627865083
1121,0.4914,8.99116,6.96793,464.497,1.94856,-2.721936667,-4.44513,0.14038794,0.116902744,18446.18056,35664.02867,0.058947818,0.060831069,4.127791058
1122,0.5058,6.7094,3.41743,778.692,1.48844,-9.50025,-13.53616667,0.441141792,0.405733606,24442.83754,48969.97202,1.088642183,5.551244233,20.39694702
1123,0.635,11.49174,10.88335,1311.91,1.17569,-3.053753333,-4.50567,0.20987689,0.162034462,3599.355121,7254.672898,0.23773732,0.223269198,3.756569612
1124,0.5362,8.37247,7.3895,1033.84,1.20081,-5.00164,-7.578553333,0.28407519,0.247002344,13316.68399,26486.94705,0.624212212,1.497969738,9.59910562
1125,0.5708,6.50652,4.77619,1527.99,1.06179,-4.52104,-6.807576667,0.26040282,0.222309524,9697.677852,19413.43335,0.471698515,0.890774658,7.553762666
1126,0.6922,16.54325,4.10215,2059.39,0.938804,-4.767713333,-6.996343333,0.266123971,0.223236587,7512.185575,15320.15189,0.58820556,1.046499184,7.116554179
1127,0.495,5.57501,4.33625,896.642,1.21212,-5.039496667,-7.604363333,0.27086472,0.239755371,15592.17256,31124.78304,0.441345621,1.069523926,9.693300444
1128,0.5562,5.62994,3.54616,1321.41,1.08751,-5.41813,-8.37242,0.296711167,0.262535581,8519.73748,17323.68502,0.58106627,1.594440133,10.97596068
1129,0.446,4.36051,3.5205,425.646,1.51662,-5.073266667,-6.86115,0.212482307,0.170514735,11943.34337,24305.91481,0.225148625,0.252823706,4.49167666
1130,0.5216,6.3126,4.22285,981.718,1.35207,-4.55688,-6.877093333,0.259593081,0.223717616,8254.831388,16519.27332,0.41839466,0.85741941,8.197230911
1131,0.549,6.1177,4.01268,1132.86,1.25406,-5.094426667,-7.435053333,0.279620229,0.238652814,5925.628571,12246.22921,0.569372136,1.210828662,8.506413191
1132,0.4912,4.59696,3.52692,751.274,1.40297,-5.401453333,-7.84686,0.285225303,0.242975087,9388.714244,19048.25249,0.51862546,1.151331957,8.879872245
1133,0.5814,6.31021,3.94178,1363.07,1.20743,-4.131103333,-6.298673333,0.242426743,0.197896398,5221.147339,10733.15999,0.370341643,0.513296331,5.544030391
1134,0.503,5.48957,3.37729,830.686,1.38391,-4.83673,-7.064626667,0.259278173,0.218023181,6429.588555,13274.81417,0.41924822,0.761340708,7.26386586
